
Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,MhcHeadCollapse,AI_VECTOR_CORE,47,50,4.440,1789185298683104.120	,1789185298683108.560	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,51,4.500,1789185298683123.340	,1789185298683127.840	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,52,5.000,1789185298683148.400	,1789185298683153.400	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,53,4.640,1789185298683172.820	,1789185298683177.460	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,54,4.420,1789185298683196.680	,1789185298683201.100	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,55,4.460,1789185298683215.760	,1789185298683220.220	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,56,4.540,1789185298683234.880	,1789185298683239.420	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,57,5.040,1789185298683256.660	,1789185298683261.700	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,58,4.640,1789185298683279.880	,1789185298683284.520	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,59,4.500,1789185298683303.700	,1789185298683308.200	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,60,4.460,1789185298683327.700	,1789185298683332.160	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,61,4.520,1789185298683351.520	,1789185298683356.040	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,62,5.020,1789185298683377.520	,1789185298683382.540	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,63,4.740,1789185298683402.300	,1789185298683407.040	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,64,4.480,1789185298683423.820	,1789185298683428.300	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,65,4.460,1789185298683443.520	,1789185298683447.980	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,66,4.520,1789185298683463.080	,1789185298683467.600	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,67,5.000,1789185298683486.560	,1789185298683491.560	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,68,4.620,1789185298683510.120	,1789185298683514.740	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,69,4.480,1789185298683535.920	,1789185298683540.400	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,70,4.460,1789185298683558.200	,1789185298683562.660	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,71,4.500,1789185298683577.300	,1789185298683581.800	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,72,5.040,1789185298683603.400	,1789185298683608.440	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,73,4.540,1789185298683628.000	,1789185298683632.540	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,74,4.480,1789185298683647.840	,1789185298683652.320	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,75,4.440,1789185298683667.720	,1789185298683672.160	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,76,4.600,1789185298683687.080	,1789185298683691.680	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,77,4.520,1789185298683710.700	,1789185298683715.220	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,78,4.580,1789185298683730.200	,1789185298683734.780	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,79,4.460,1789185298683753.580	,1789185298683758.040	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,80,4.460,1789185298683777.560	,1789185298683782.020	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,81,4.520,1789185298683797.820	,1789185298683802.340	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,82,4.540,1789185298683822.200	,1789185298683826.740	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,83,4.600,1789185298683843.400	,1789185298683848.000	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,84,4.480,1789185298683862.760	,1789185298683867.240	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,85,4.640,1789185298683881.960	,1789185298683886.600	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,86,4.520,1789185298683901.260	,1789185298683905.780	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,87,5.020,1789185298683920.580	,1789185298683925.600	
