
Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,10,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682354.580	,7.340,0.000000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.288,40244,2.231,0.355,3.849,0.612,0.878,0.14,0.162,0.026,0.0,0.000
0,4294967295,11,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682361.940	,7.400,0.160000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.308,40373,2.231,0.354,3.899,0.618,0.838,0.133,0.172,0.027,0.0,0.000
0,4294967295,12,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682369.360	,7.320,0.000000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31,40381,2.231,0.354,3.849,0.61,0.88,0.139,0.177,0.028,0.0,0.000
0,4294967295,13,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682376.700	,7.420,0.180000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.294,40281,2.231,0.355,3.841,0.61,0.874,0.139,0.171,0.027,0.0,0.000
0,4294967295,14,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682384.140	,7.260,0.080000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.217,39788,2.231,0.359,3.766,0.606,0.896,0.144,0.151,0.024,0.0,0.000
0,4294967295,15,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682391.420	,7.260,0.000000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.218,39795,2.231,0.359,3.808,0.612,0.851,0.137,0.161,0.026,0.0,0.000
0,4294967295,16,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682398.700	,7.260,0.000000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.249,39994,2.231,0.357,3.85,0.616,0.831,0.133,0.172,0.028,0.0,0.000
0,4294967295,17,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682406.000	,7.280,0.000000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.291,40260,2.231,0.355,3.824,0.608,0.889,0.141,0.176,0.028,0.0,0.000
0,4294967295,18,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682413.300	,7.400,0.000000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.311,40388,2.231,0.354,3.847,0.61,0.887,0.141,0.171,0.027,0.0,0.000
0,4294967295,19,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682420.720	,7.280,0.100000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.228,39862,2.231,0.358,3.805,0.611,0.87,0.14,0.151,0.024,0.0,0.000
0,4294967295,20,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682448.580	,7.020,20.470000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.316,40424,2.231,0.353,3.846,0.609,0.905,0.143,0.166,0.026,0.0,0.000
