Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,MhcHeadCollapse,AI_VECTOR_CORE,82,51,9.520,1789388013631109.819	,1789388013631119.339	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,52,9.280,1789388013631119.379	,1789388013631128.659	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,53,8.701,1789388013631128.679	,1789388013631137.380	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,54,9.860,1789388013631137.400	,1789388013631147.260	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,55,9.860,1789388013631147.280	,1789388013631157.140	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,56,9.540,1789388013631157.160	,1789388013631166.700	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,57,9.560,1789388013631166.720	,1789388013631176.280	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,58,10.020,1789388013631176.300	,1789388013631186.320	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,59,9.801,1789388013631186.360	,1789388013631196.161	
0,N/A,EVENT_RECORD,82,60,0.020,1789388013631196.181	,1789388013631196.201	
0,N/A,EVENT_RECORD,82,61,0.020,1789388013631231.341	,1789388013631231.361	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,62,9.560,1789388013631251.242	,1789388013631260.802	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,63,8.960,1789388013631260.822	,1789388013631269.782	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,64,9.240,1789388013631273.702	,1789388013631282.942	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,65,9.241,1789388013631282.962	,1789388013631292.203	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,66,9.880,1789388013631294.563	,1789388013631304.443	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,67,9.860,1789388013631304.463	,1789388013631314.323	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,68,9.540,1789388013631315.343	,1789388013631324.883	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,69,9.560,1789388013631324.903	,1789388013631334.463	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,70,10.101,1789388013631334.483	,1789388013631344.584	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,71,9.720,1789388013631344.604	,1789388013631354.324	
0,N/A,EVENT_RECORD,82,72,0.020,1789388013631354.344	,1789388013631354.364	
0,N/A,EVENT_RECORD,82,73,0.020,1789388013631398.285	,1789388013631398.305	
