Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,10,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630525.887	,9.600,0.040000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.156,236138,1.731,0.242,5.049,0.706,0.876,0.122,0.202,0.028,0.0,0.000
0,4294967295,11,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630535.527	,9.721,0.000000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.226,238472,1.731,0.24,4.903,0.678,1.084,0.15,0.211,0.029,0.0,0.000
0,4294967295,12,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630545.288	,9.600,0.029000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.196,237459,1.731,0.241,5.074,0.705,0.914,0.127,0.199,0.028,0.0,0.000
0,4294967295,13,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630554.908	,9.660,0.150000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.173,236699,1.731,0.241,4.936,0.688,1.091,0.152,0.211,0.029,0.0,0.000
0,4294967295,14,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630564.588	,9.300,0.000000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.979,230318,1.731,0.248,4.91,0.703,0.842,0.121,0.199,0.029,0.0,0.000
0,4294967295,15,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630573.908	,9.400,0.200000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.978,230273,1.731,0.248,4.79,0.687,0.947,0.136,0.212,0.03,0.0,0.000
0,4294967295,16,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630583.328	,9.161,0.000000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.914,228149,1.731,0.25,4.983,0.721,0.717,0.104,0.199,0.029,0.0,0.000
0,4294967295,17,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630592.509	,8.720,0.089000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.086,233823,1.731,0.244,5.278,0.745,0.567,0.08,0.211,0.03,0.0,0.000
0,4294967295,18,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630601.249	,8.900,0.030000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.171,236638,1.731,0.241,5.358,0.747,0.585,0.082,0.199,0.028,0.0,0.000
0,4294967295,19,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630610.169	,9.560,0.100000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.228,238534,1.731,0.239,4.924,0.681,1.058,0.146,0.212,0.029,0.0,0.000
