Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,MhcHeadCollapse,AI_VECTOR_CORE,188,51,9.440,1789389240922210.056	,1789389240922219.496	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,52,8.960,1789389240922219.536	,1789389240922228.496	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,53,9.820,1789389240922228.516	,1789389240922238.336	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,54,9.040,1789389240922238.376	,1789389240922247.416	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,55,9.301,1789389240922247.436	,1789389240922256.737	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,56,9.220,1789389240922256.757	,1789389240922265.977	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,57,9.500,1789389240922265.997	,1789389240922275.497	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,58,9.220,1789389240922275.517	,1789389240922284.737	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,59,9.000,1789389240922284.757	,1789389240922293.757	
0,N/A,EVENT_RECORD,188,60,0.020,1789389240922293.777	,1789389240922293.797	
0,N/A,EVENT_RECORD,188,61,0.020,1789389240922333.798	,1789389240922333.818	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,62,9.320,1789389240922354.979	,1789389240922364.299	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,63,9.620,1789389240922364.319	,1789389240922373.939	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,64,9.640,1789389240922377.259	,1789389240922386.899	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,65,9.560,1789389240922386.919	,1789389240922396.479	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,66,9.101,1789389240922396.499	,1789389240922405.600	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,67,9.560,1789389240922405.640	,1789389240922415.200	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,68,9.460,1789389240922415.220	,1789389240922424.680	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,69,9.300,1789389240922424.700	,1789389240922434.000	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,70,8.760,1789389240922434.020	,1789389240922442.780	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,71,9.541,1789389240922442.800	,1789389240922452.341	
0,N/A,EVENT_RECORD,188,72,0.020,1789389240922452.361	,1789389240922452.381	
0,N/A,EVENT_RECORD,188,73,0.020,1789389240922486.641	,1789389240922486.661	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,74,9.400,1789389240922508.022	,1789389240922517.422	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,75,9.640,1789389240922517.442	,1789389240922527.082	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,76,9.500,1789389240922527.102	,1789389240922536.602	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,77,9.840,1789389240922536.622	,1789389240922546.462	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,78,9.161,1789389240922546.482	,1789389240922555.643	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,79,9.280,1789389240922555.663	,1789389240922564.943	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,80,9.400,1789389240922564.963	,1789389240922574.363	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,81,9.420,1789389240922574.383	,1789389240922583.803	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,82,9.200,1789389240922583.823	,1789389240922593.023	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,83,8.961,1789389240922593.043	,1789389240922602.004	
0,N/A,EVENT_RECORD,188,84,0.020,1789389240922602.024	,1789389240922602.044	
0,N/A,EVENT_RECORD,188,85,0.020,1789389240922636.284	,1789389240922636.304	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,86,9.420,1789389240922657.765	,1789389240922667.185	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,87,8.820,1789389240922667.205	,1789389240922676.025	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,88,9.560,1789389240922676.045	,1789389240922685.605	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,89,9.800,1789389240922685.625	,1789389240922695.425	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,90,9.081,1789389240922695.445	,1789389240922704.526	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,91,9.300,1789389240922704.566	,1789389240922713.866	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,92,9.320,1789389240922713.906	,1789389240922723.226	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,93,9.400,1789389240922723.246	,1789389240922732.646	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,94,9.240,1789389240922732.666	,1789389240922741.906	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,95,9.000,1789389240922741.926	,1789389240922750.926	
0,N/A,EVENT_RECORD,188,96,0.020,1789389240922750.946	,1789389240922750.966	
0,N/A,EVENT_RECORD,188,97,0.020,1789389240922786.367	,1789389240922786.387	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,98,9.360,1789389240922807.828	,1789389240922817.188	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,99,9.600,1789389240922819.008	,1789389240922828.608	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,100,9.480,1789389240922828.648	,1789389240922838.128	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,101,9.820,1789389240922838.148	,1789389240922847.968	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,102,9.101,1789389240922847.988	,1789389240922857.089	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,103,9.300,1789389240922861.909	,1789389240922871.209	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,104,9.340,1789389240922872.309	,1789389240922881.649	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,105,9.500,1789389240922881.689	,1789389240922891.189	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,106,9.161,1789389240922891.209	,1789389240922900.370	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,107,9.020,1789389240922900.390	,1789389240922909.410	
0,N/A,EVENT_RECORD,188,108,0.020,1789389240922912.950	,1789389240922912.970	
0,N/A,EVENT_RECORD,188,109,0.020,1789389240922954.671	,1789389240922954.691	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,110,9.400,1789389240922965.031	,1789389240922974.431	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,111,9.640,1789389240922981.631	,1789389240922991.271	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,112,9.601,1789389240922991.291	,1789389240923000.892	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,113,9.840,1789389240923000.912	,1789389240923010.752	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,114,9.060,1789389240923010.772	,1789389240923019.832	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,115,9.460,1789389240923019.852	,1789389240923029.312	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,116,9.200,1789389240923029.332	,1789389240923038.532	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,117,9.520,1789389240923038.552	,1789389240923048.072	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,118,9.141,1789389240923048.092	,1789389240923057.233	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,119,9.000,1789389240923057.253	,1789389240923066.253	
0,N/A,EVENT_RECORD,188,120,0.000,1789389240923066.293	,1789389240923066.293	
0,N/A,EVENT_RECORD,188,121,0.020,1789389240923106.574	,1789389240923106.594	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,122,9.400,1789389240923117.194	,1789389240923126.594	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,123,9.640,1789389240923133.674	,1789389240923143.314	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,124,9.601,1789389240923143.334	,1789389240923152.935	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,125,9.800,1789389240923152.955	,1789389240923162.755	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,126,9.040,1789389240923162.795	,1789389240923171.835	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,127,9.260,1789389240923171.855	,1789389240923181.115	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,128,9.200,1789389240923182.635	,1789389240923191.835	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,129,9.501,1789389240923191.875	,1789389240923201.376	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,130,9.180,1789389240923201.396	,1789389240923210.576	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,131,9.580,1789389240923210.596	,1789389240923220.176	
0,N/A,EVENT_RECORD,188,132,0.020,1789389240923220.196	,1789389240923220.216	
0,N/A,EVENT_RECORD,188,133,0.020,1789389240923254.597	,1789389240923254.617	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,134,9.400,1789389240923277.437	,1789389240923286.837	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,135,9.600,1789389240923286.857	,1789389240923296.457	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,136,9.561,1789389240923296.497	,1789389240923306.058	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,137,9.800,1789389240923306.078	,1789389240923315.878	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,138,9.060,1789389240923315.918	,1789389240923324.978	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,139,9.280,1789389240923324.998	,1789389240923334.278	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,140,9.220,1789389240923334.298	,1789389240923343.518	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,141,9.541,1789389240923343.538	,1789389240923353.079	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,142,9.180,1789389240923353.099	,1789389240923362.279	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,143,8.980,1789389240923362.299	,1789389240923371.279	
0,N/A,EVENT_RECORD,188,144,0.020,1789389240923371.299	,1789389240923371.319	
0,N/A,EVENT_RECORD,188,145,0.020,1789389240923413.340	,1789389240923413.360	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,146,9.460,1789389240923429.640	,1789389240923439.100	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,147,9.640,1789389240923439.120	,1789389240923448.760	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,148,9.581,1789389240923448.780	,1789389240923458.361	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,149,9.820,1789389240923473.461	,1789389240923483.281	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,150,9.100,1789389240923483.301	,1789389240923492.401	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,151,9.381,1789389240923492.421	,1789389240923501.802	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,152,9.700,1789389240923501.822	,1789389240923511.522	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,153,9.560,1789389240923520.242	,1789389240923529.802	
